ListaDeSensores,Ciudades
Sensor Telemetrico,Gran Santiago
Sensor De Presion,Gran Concepcion
Sensor De Presion De Sobrealimentacion,Gran Valparaiso
Sensor De Masa De Aire,Gran La Serena
Sensor De Alta Presion,Antofagasta
Sonda Lambda,Gran Temuco
Sensor De Velocidad De Rotacion,Gran Rancagua
Sensor De Presion del Deposito,Gran Iquique
Transmision De Posicion Del Pedal,Talca
Sensor de Angulo ,Arica
Sonda Lambda,Gran Puerto Montt
Sensor de Inclinacion,Gran Chillan
Sensor De Aceleracion,Los Angeles
Sensor De Ocupacion De Asiento,Calama
Sensor de Magnitud De Giro o Viraje,Calama
Sensor De Aceleracion transversal,Copiapo
Sensor de Inclinacion,Osorno
Sensor De Vuelco,Gran Quillota
Sensor De velocidad de giro Ruedas,Valdivia
Sensor De lluvia,Punta Arenas
Sensor Telemetrico,Gran San Antonio
Sensor De Ocupacion De Asiento,Curico
Sensor de Magnitud De Giro o Viraje,Ovalle
Sensor De Aceleracion transversal,Linares
Sensor de Inclinacion,Los Andes
Sensor De Vuelco,Melipilla
Sensor De velocidad de giro Ruedas,San Felipe
